Data,Preco_Real,Preco_Dolar
2006-08-23,"239,83","111,45"
2006-08-24,"239,55","111,21"
2006-08-25,"238,2","110,43"
2006-08-28,"230,76","107,83"
2006-08-29,"231,69","108,37"
2006-08-30,"232,34","108,67"
2006-08-31,"233,08","108,66"
2006-09-01,"233,03","108,95"
2006-09-04,"232,27","109,35"
2006-09-05,"240,45","112,78"
2006-09-06,"240,97","111,97"
2006-09-08,"229,91","106,49"
2006-09-11,"229,57","105,5"
2006-09-12,"228,32","105,32"
2006-09-13,"230,99","107,04"
2006-09-14,"228,51","105,65"
2006-09-15,"227,92","105,91"
2006-09-18,"226,59","105,54"
2006-09-19,"228,53","105,65"
2006-09-20,"228,34","104,89"
2006-09-21,"235,14","106,45"
2006-09-22,"237,79","107,75"
2006-09-25,"238,91","107,67"
2006-09-26,"237,1","108,12"
2006-09-27,"237,52","108,61"
2006-09-28,"239,8","110,4"
2006-09-29,"237,78","109,53"
2006-10-02,"228,99","106,11"
2006-10-03,"232,83","107,1"
2006-10-04,"233,84","108,16"
2006-10-05,"234,45","108,59"
2006-10-06,"232,58","107,53"
2006-10-09,"232,88","108,01"
2006-10-10,"231,04","107,31"
2006-10-11,"232,54","107,76"
2006-10-13,"231,36","108,26"
2006-10-16,"228,88","107,46"
2006-10-17,"231,3","108,49"
2006-10-18,"230,56","107,84"
2006-10-19,"230,22","107,53"
2006-10-20,"230,88","107,84"
2006-10-23,"240,75","112,61"
2006-10-24,"241,69","112,41"
2006-10-25,"241,55","112,56"
2006-10-26,"242,43","113,39"
2006-10-27,"242,89","113,82"
2006-10-30,"243,1","113,07"
2006-10-31,"242,78","113,29"
2006-11-01,"244,58","114,08"
2006-11-03,"256,23","119,73"
2006-11-06,"257,67","120,58"
2006-11-07,"258,4","120,86"
2006-11-08,"261,8","122,05"
2006-11-09,"267,92","125,14"
2006-11-10,"265,19","123,23"
2006-11-13,"265,34","122,33"
2006-11-14,"268,04","124,73"
2006-11-16,"273,82","127,12"
2006-11-17,"262,38","121,47"
2006-11-20,"271,32","125,2"
2006-11-21,"273,28","126,34"
2006-11-22,"272,87","125,98"
2006-11-23,"273,61","126,2"
2006-11-24,"273,71","126,14"
2006-11-27,"279,39","127,52"
2006-11-28,"285,54","130,5"
2006-11-29,"284,78","131,29"
2006-11-30,"286,74","132,51"
2006-12-01,"289,46","133,52"
2006-12-04,"286,75","132,51"
2006-12-05,"289,82","134,67"
2006-12-06,"288,27","134,33"
2006-12-07,"288,54","134,64"
2006-12-08,"290,35","135,68"
2006-12-11,"295,14","138,05"
2006-12-12,"293,38","136,33"
2006-12-13,"295,82","137,85"
2006-12-14,"295,04","137,35"
2006-12-15,"290,53","135,32"
2006-12-18,"290,69","135,27"
2006-12-19,"287,68","133,56"
2006-12-20,"293,2","135,87"
2006-12-21,"290,11","134,5"
2006-12-22,"290,32","135,22"
2006-12-26,"293,34","136,82"
2006-12-27,"293,46","136,75"
2006-12-28,"293,8","137,55"
2007-01-02,"292,21","137,12"
2007-01-03,"287,95","134,55"
2007-01-04,"291,39","135,91"
2007-01-05,"282,56","131,3"
2007-01-08,"281,01","130,64"
2007-01-09,"282,39","131,35"
2007-01-10,"283,28","131,82"
2007-01-11,"282,67","131,78"
2007-01-12,"282,05","131,74"
2007-01-15,"282,68","132,09"
2007-01-16,"285,05","133,2"
2007-01-17,"283,82",133
2007-01-18,"282,37","132,26"
2007-01-19,"281,16","131,94"
2007-01-22,"279,65","130,92"
2007-01-23,"276,38","129,57"
2007-01-24,"278,88","130,99"
2007-01-25,"276,64","129,63"
2007-01-26,"275,1","128,67"
2007-01-29,"276,27","129,4"
2007-01-30,"275,22","129,18"
2007-01-31,"277,16","130,49"
2007-02-01,"274,17","130,43"
2007-02-02,"273,98","130,15"
2007-02-05,"270,58","129,22"
2007-02-06,"270,35","129,6"
2007-02-07,"271,49","129,65"
2007-02-08,"268,07","128,08"
2007-02-09,"268,56","127,4"
2007-02-12,"267,86","126,71"
2007-02-13,"264,99","125,71"
2007-02-14,"266,75","127,51"
2007-02-15,"265,21","126,71"
2007-02-16,"264,3","126,28"
2007-02-21,"261,36","125,84"
2007-02-22,"267,34","128,4"
2007-02-23,"265,85","127,26"
2007-02-26,"264,97","127,15"
2007-02-27,"266,21","125,57"
2007-02-28,"265,82","125,33"
2007-03-01,"263,6","124,4"
2007-03-02,"260,96","122,4"
2007-03-05,"258,28","120,98"
2007-03-06,"258,71","122,2"
2007-03-07,"257,28","121,76"
2007-03-08,"257,04","121,99"
2007-03-09,"254,93","121,45"
2007-03-12,"254,59","121,93"
2007-03-13,"251,21","119,4"
2007-03-14,"249,85","119,15"
2007-03-15,"250,31","119,77"
2007-03-16,"249,9","119,4"
2007-03-19,"250,06","120,28"
2007-03-20,"247,01","118,93"
2007-03-21,"251,36","122,02"
2007-03-22,248,"120,33"
2007-03-23,"252,51","122,46"
2007-03-26,"253,78","123,19"
2007-03-27,"249,7","121,04"
2007-03-28,"249,29","120,49"
2007-03-29,"246,9","120,79"
2007-03-30,"244,47","118,62"
2007-04-02,"239,1","116,75"
2007-04-03,"246,54","121,03"
2007-04-04,"245,08","120,49"
2007-04-05,"246,2","121,16"
2007-04-09,"240,96","118,99"
2007-04-10,"241,18","118,92"
2007-04-11,"241,56","118,53"
2007-04-12,"250,13","122,97"
2007-04-13,"244,01","120,74"
2007-04-16,"236,6","116,15"
2007-04-17,"241,13","118,43"
2007-04-18,"240,04","118,07"
2007-04-19,"239,2","117,89"
2007-04-20,"237,09","116,96"
2007-04-23,"237,52","116,66"
2007-04-24,"233,31","114,65"
2007-04-25,"231,52","114,56"
2007-04-26,"230,87","113,9"
2007-04-27,"228,63","112,51"
